business_id,name,neighborhood,rating,review_count,popularity,ranking_score,delivery,outdoor_seating,accepts_credit_cards,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,bike_parking,price_range,take_out,has_wifi,alcohol,caters,reservations,good_for_groups,attire,has_tv,ambience_touristy,ambience_hipster,ambience_romantic,ambience_divey,ambience_intimate,ambience_trendy,ambience_upscale,ambience_classy,ambience_casual,good_for_kids,meal_dessert,meal_latenight,meal_lunch,meal_dinner,meal_brunch,meal_breakfast,noise_level,dogs_allowed,happy_hour,wheelchair_accessible,table_service,dietary_restrictions,cuisine_group,cuisine,key_menu,establishment_type,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close,days_open_per_week,open_weekends,open_late
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,Burholme,4.5,116,4,0.7377,,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,,,,"Chicken Wings, Sandwiches, Beer","Bars, Delis, Beer Gardens, Beer Bar, Gastropubs",0.0,0.0,13.25,20.5,14.0,20.5,14.0,20.5,11.75,21.0,14.0,21.0,11.75,20.0,7,1,0
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,Center City East,4.0,485,5,0.7197,1,0,1,1,1,0,0,0,1,1,1,1,,1,0,0,1,0,,0,0,0,0,0,0,0,1,1,0,0,1,,,,2,0,0,,,,American / Fusion,Cajun/Creole,,,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,8.0,18.0,7,1,0
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,Queen Village,4.5,159,4,0.7638,1,,1,0,1,0,0,0,1,2,1,0,,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,,0,0,1,,"Southeast Asian, Southeast Asian, American / Fusion, Southeast Asian","Malaysian, Burmese, Asian Fusion, Thai",,,0.0,0.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,,,6,1,0
PvT44WlqJLkUrCITo6AjRA,Breakfast Boutique Chestnut Hill,Chestnut Hill,3.0,151,4,0.5,1,0,1,0,1,0,1,0,,2,1,1,,,1,1,1,1,0,0,0,0,,,0,,1,1,0,0,0,0,0,0,2,0,0,,1,,,,Breakfast & Brunch,,,,,,8.0,14.5,7.5,16.0,7.5,15.0,7.5,15.0,8.0,14.0,5,1,0
nBr6NgqcZz1GhtAngU0RSQ,Forin Cafe,East Kensington,4.5,10,1,0.5487,0,1,1,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,Cafes,0.0,0.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,7,1,0
y44MbCvvtmg1FpkNGSWisw,Tony's Luke,Airport,2.5,172,4,0.41,0,0,1,0,0,,0,0,0,2,1,0,,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,3,,,,0,,,,Cheesesteaks,,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,7,1,0
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,Cedar Park,4.5,458,5,0.8271,1,1,1,0,1,0,0,0,1,1,1,0,,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,,,,,Halal,"South Asian, South Asian","Pakistani, Indian","Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Coffee & Tea",Cafes,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,12.0,22.0,7,1,0
dE_MaaYrXBAEebtH2u_B-w,Wilson's Market,Fern Rock,3.5,13,1,0.5203,0,0,1,0,0,0,0,0,0,1,1,0,,1,0,1,,,,,,,,,,,,1,,,,,,,,0,,0,0,,,,Sandwiches,"Specialty Food, Meat Shops, Delis, Grocery",7.0,22.5,7.0,22.5,8.0,20.0,7.0,22.5,7.0,22.5,8.0,18.0,8.0,18.0,7,1,0
68ThEdiK0eWCEgGEmV9Tng,Southgate,Rittenhouse,4.0,323,5,0.7071,1,1,1,0,1,0,0,0,1,2,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,,1,0,0,2,1,1,0,1,,"American / Fusion, East Asian","American (Traditional), Korean",Breakfast & Brunch,"Gastropubs, Bars, Cocktail Bars",0.0,0.0,16.0,21.0,16.0,21.0,16.0,21.0,16.0,22.0,14.0,22.0,14.0,21.0,7,1,0
cEG1r9aRMJwmRQVkh7eiJg,Falls Deli,East Falls,4.5,31,2,0.6186,1,1,1,0,1,0,0,0,,,1,1,,1,0,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,"Bagels, Sandwiches, Breakfast & Brunch",Delis,0.0,0.0,7.0,13.0,7.5,19.0,7.5,19.0,7.5,19.0,7.5,19.0,7.5,19.0,7,1,0
TttFjRQ-8Iz8by4hsD7iOQ,Angelina's,Bella Vista,4.5,49,3,0.6584,1,0,0,0,0,0,0,0,,3,,1,,,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,,,1,,European,Italian,,,,,,,17.0,22.0,17.0,22.0,17.0,22.0,17.0,22.0,16.0,21.0,5,1,0
di5ihAL9VWoctHelY8kLTQ,Gigi and Big R,University City,4.0,81,3,0.6368,1,0,0,0,1,,0,0,1,2,1,0,,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,,,,,,,2,,,,,,Latin American / Caribbean,Caribbean,,Food Trucks,,,,,,,,,,,,,,,,,
Pb5agnsD9EdCl6yuZp2jJA,O Sole Mio,Queen Village,4.5,85,3,0.7097,1,1,1,,,,0,0,,,1,0,,1,1,1,,1,,,,0,,,,,,1,0,0,0,0,0,0,,,0,1,1,,"European, European","Sardinian, Italian","Seafood, Gelato, Pizza",,,,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,1.0,22.0,6,1,0
_IYHl6J9iB3lbeJq27pbsg,Taqueria La Hacienda,Feltonville,3.5,10,1,0.5162,1,,1,,,,,,0,1,1,0,,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,1,,Latin American / Caribbean,Latin American,,,,,,,,,,,,,,,,,,,
B6qHZCAs7Nka-1zdjCzAIQ,Butter's Soul Food,Fairmount,3.0,77,3,0.5,1,1,1,0,1,0,0,0,1,2,1,0,,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,,,,,,American / Fusion,Soul Food,,,,,12.0,20.0,12.0,20.0,12.0,20.0,12.0,21.0,12.0,21.0,12.0,20.0,6,1,0
cLlBDZxYJ1dt1JgMuZnXew,Olly,Queen Village,4.0,51,3,0.6081,0,0,1,0,1,0,0,0,1,,0,0,1,1,0,,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,,1,,American / Fusion,American (New),"Pizza, Bagels, Sandwiches, Comfort Food, Breakfast & Brunch, Burgers","Bars, Wine Bars",0.0,0.0,,,16.0,21.0,16.0,21.0,12.0,21.0,12.0,21.0,12.0,20.0,6,1,0
V5KiEoH4E86GA2S3RQkf1g,Spice Grill,Richmond,3.5,12,1,0.519,1,0,1,0,0,0,0,0,1,1,1,0,,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,1,,"East Asian, American / Fusion","Chinese, Asian Fusion",,,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,11.0,22.0,7,1,0
MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,University City,4.0,783,5,0.7303,1,,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,0,1,,,,"East Asian, East Asian","Chinese, Szechuan",,,11.5,21.0,11.5,21.0,11.5,21.0,11.5,21.0,11.5,21.5,11.5,21.5,11.5,21.0,7,1,0
f8xDi3rajxvIqS73N93Afw,Guavaberry Foods & Drinks ,Queen Village,4.0,13,1,0.5406,1,0,1,0,0,0,0,0,1,2,1,1,,,0,,,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,"Delis, Convenience Stores, Cafes",8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.0,20.0,8.5,19.0,7,1,0
ugSVRAKO6mxvsrElFg8USw,México Lindo,East Passyunk,4.5,73,3,0.6955,1,0,0,0,1,0,0,0,1,1,1,1,,,0,1,1,1,0,0,0,1,,0,0,0,,1,0,0,1,,,,1,,,,1,,Latin American / Caribbean,Mexican,,,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,10.0,22.0,7,1,0
duf2PORLOL6it1dTGhSnKA,Junes Breakfast,Overbrook,2.5,20,1,0.4713,0,0,0,0,1,0,0,0,0,1,1,0,,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,1,1,3,,,,,,American / Fusion,American (New),"Breakfast & Brunch, Coffee & Tea, Sandwiches",,6.0,14.0,6.0,14.0,6.0,14.0,6.0,14.0,6.0,14.0,6.5,14.5,6.5,14.5,7,1,0
bKppmYKQ_-9cpp2yziB-Qw,Lincoln Chicken Pizza And Grill,Fairmount,2.5,20,1,0.4713,1,0,1,,,,,,,1,1,,,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,0,,,,"Cheesesteaks, Chicken Wings, Pizza",,11.0,24.0,11.0,24.0,11.0,24.0,11.0,24.0,11.0,24.0,11.0,24.0,11.0,24.0,7,1,0
Zk_GdMMPgEfKUECCxAxvwQ,Pho Nam Giang,Franklin Mills,4.5,23,2,0.5958,1,0,1,,1,0,,0,,2,1,1,,0,,,,0,0,,,0,,0,0,0,,,,,,,,,,0,,,1,,"East Asian, Southeast Asian, American / Fusion","Chinese, Vietnamese, Asian Fusion",,,11.5,21.5,11.5,21.5,11.5,21.5,11.5,21.5,11.5,21.5,11.5,21.5,11.5,21.5,7,1,0
w0zKpH49tW6Y-b6ZJzKMFw,Chuck's Alibi,Fox Chase,2.0,76,3,0.3671,,0,1,0,1,0,1,1,0,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,,,,,,,,Seafood,,16.0,22.0,16.0,22.0,16.0,22.0,16.0,22.0,16.0,22.0,16.0,22.0,16.0,22.0,7,1,0
eqNutOMnPqKa9QDAY6KfEw,J'aime French Bakery,Washington Square West,4.5,310,5,0.8084,1,1,1,0,1,0,0,0,1,2,1,1,,1,,,,,,,,,,,,,,1,,,,,,,2,0,,0,,,,,"Juice Bars & Smoothies, Coffee & Tea","Bakeries, Cafes",0.0,0.0,7.0,16.0,7.0,16.0,8.0,13.0,8.0,13.0,8.0,16.0,8.0,16.0,7,1,0
CB7nXPd5h_YLzcgfDo2DCg,Mike's Breakfast,Melrose Park Gardens,3.0,15,1,0.5,1,0,1,0,0,0,0,0,0,1,1,0,,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,,,,,,,,Breakfast & Brunch,,,,,,,,,,,,,,,,,,
7lwe7n-Yc-V9E_HfLAeylg,Pub & Kitchen,Rittenhouse,3.5,615,5,0.6127,1,1,1,0,1,0,1,0,1,2,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,,,1,,0,2,,1,,1,,American / Fusion,American (New),,"Pubs, Bars",16.0,24.0,16.0,24.0,16.0,24.0,16.0,24.0,16.0,24.0,11.0,24.0,11.0,24.0,7,1,0
o4_cgIKWgvJ09TZeSzARmg,Quality Pizza,Lawndale,3.0,19,1,0.5,1,0,1,0,0,0,0,0,,2,1,,,,0,0,1,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,Pizza,,,,,,,,,,,,,,,,,,
5m3ND7lNNd6zo-bNQGoXhQ,Three 12 Sport Bar and Lounge,Old City,2.5,33,2,0.4588,1,1,1,1,1,0,1,0,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,,American / Fusion,American (Traditional),,"Bars, Cocktail Bars",11.0,25.5,11.0,25.5,11.0,25.5,11.0,25.5,11.0,25.5,11.0,25.5,11.0,25.5,7,1,1
7J81xJFlMM244_f05k2egw,Hammerheads Bar & Grille,Mayfair,2.5,15,1,0.4771,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,4,,,,,,American / Fusion,American (Traditional),,"Dive Bars, Bars",,,,,,,,,,,,,,,,,
oBhJuukGRqPVvYBfTkhuZA,Square 1682,Rittenhouse,3.5,385,5,0.6065,1,1,1,0,1,0,0,1,1,2,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,,,1,,,2,,1,1,1,,American / Fusion,American (New),Breakfast & Brunch,Bars,0.0,0.0,17.0,22.0,17.0,22.0,17.0,22.0,17.0,22.0,17.0,22.0,9.0,14.0,7,1,0
7sKfrJmjG6unAQeWdQUe2w,Franzone's Pizzeria & Restaurant,Manayunk,3.5,110,4,0.5777,1,1,1,0,1,0,0,0,1,1,1,1,,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,,0,1,0,,,,Pizza,,11.0,22.0,11.0,22.0,11.0,22.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,7,1,0
14ZGwnDyydXdSBsLXpSUrA,Vientiane Café,Cedar Park,4.0,304,5,0.7049,1,1,0,0,1,0,0,0,1,2,1,0,,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,,1,0,0,2,,0,,,,"Southeast Asian, Southeast Asian, Southeast Asian","Vietnamese, Thai, Laotian",Coffee & Tea,,0.0,0.0,16.0,21.0,16.0,21.0,16.0,21.0,16.0,21.0,16.0,21.0,,,6,1,0
9XpU6r6ATXSWYfbU7kibaQ,Passero's Coffee Roasters,Logan Square,4.5,91,3,0.716,0,0,1,0,1,0,0,0,1,1,1,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,,,1,0,,,,"Coffee & Tea, Sandwiches",Coffee Roasteries,,,,,,,,,,,,,,,,,
ld1b8y_PHH6Mn_e7T0u04g,Gachi Sushi and Noodle,Industrial,4.0,95,3,0.6466,0,0,1,0,0,0,0,0,,2,1,1,1,,0,0,,,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,,,,,,,East Asian,Japanese,"Noodles, Sushi Bars",,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,5.0,22.0,7,1,0
zVmW-ohNzhOPiBIeUPL62g,Goody's Pizza,Wissinoming,2.0,25,2,0.4321,1,0,1,0,0,0,0,0,,1,1,0,,,0,,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,2,,,,,,,,Pizza,,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,24.0,11.0,24.0,12.0,23.0,7,1,0
MGNAYydr7SxPMDgFlnZ7sg,Little Caesars Pizza,Stadium District,3.0,10,1,0.5,1,0,1,0,0,0,0,0,0,1,1,0,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,,,,0,,,,Pizza,,,,,,,,,,,,,,,,,,
GOSVLhjUT6TnrPhkkmDOpw,Vineyards Cafe,Francisville,4.5,192,4,0.778,1,1,1,0,1,0,0,0,0,1,0,1,,0,0,1,1,0,0,1,0,0,0,,0,,1,1,,0,1,0,1,1,2,0,0,1,0,,,,"Coffee & Tea, Creperies, Breakfast & Brunch","Cafes, Internet Cafes",0.0,0.0,7.0,15.0,7.0,15.0,7.0,15.0,7.0,15.0,8.0,15.0,8.0,15.0,7,1,0
kOHcpCZQd4uNp6G2uE8o2A,PrimoHoagies,Girard Estates,4.0,43,2,0.5977,1,0,1,0,1,0,0,0,1,1,1,0,,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,,1,,,,,,European,Italian,Sandwiches,Delis,0.0,0.0,9.0,16.0,9.0,16.0,9.0,16.0,9.0,16.0,9.0,16.0,9.0,15.0,7,1,0
h85b3MFPWyaopMBy8DpBpA,Ron's Caribbean Cuisine,Ogontz,4.0,142,4,0.6699,0,0,1,0,1,0,0,0,0,2,1,0,,0,0,1,1,1,0,0,0,,,,0,,,1,0,0,0,0,0,0,2,0,0,1,,,Latin American / Caribbean,Caribbean,Ethnic Food,"Cafes, Specialty Food",10.0,21.0,10.0,21.0,10.0,21.0,10.0,21.0,10.0,22.0,10.0,22.0,11.0,20.0,7,1,0
5Eq-hxUIIjZTHFnpZJhgQQ,Tom's Corner Grill & Pizza,Mayfair,3.5,11,1,0.5176,1,,1,0,0,0,0,0,,1,1,,,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,2,,,,,,,,Pizza,,11.0,23.0,11.0,23.0,11.0,23.0,11.0,23.0,11.0,24.0,11.0,24.0,12.0,22.0,7,1,0
afsP-p_pr4ikrboB5MtUzQ,Los Compadres,University City,4.0,12,1,0.538,0,0,1,0,0,0,0,0,1,1,1,0,,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,,,,0,,"Latin American / Caribbean, European","Mexican, Italian",,Food Trucks,9.0,15.5,9.0,15.5,9.0,15.5,9.0,15.5,9.0,15.5,,,,,5,0,0
tVxL-Ygzwp8NMuxwvNmWRA,Los Potrillos,Feltonville,4.0,17,1,0.5506,1,0,1,,,,,,0,,1,0,,1,0,,,1,,,,,,,,,,,,,,,,,,,,0,0,,"American / Fusion, European, Latin American / Caribbean","American (Traditional), Spanish, Mexican",,Food Trucks,10.0,23.5,10.0,23.5,10.0,23.5,10.0,23.5,10.0,24.0,12.0,24.0,,,6,1,0
ZMJz4ekxrcZdhBcnK4B_6g,Kurry Shack,Pennsport,3.5,29,2,0.5378,1,1,1,,,0,0,0,,,1,1,,,1,1,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,1,1,"Vegetarian, Halal",South Asian,Indian,,"Specialty Food, Health Markets",11.5,21.75,11.5,21.75,,,11.5,21.75,11.5,22.75,11.5,22.75,11.5,21.75,6,1,0
